国家,中国
指标名称,中国:现货价(平均价):玉米
频率,日
单位,元/吨
指标ID,S5005793
时间区间,2009-01-04:2024-04-15
来源,汇易网
更新时间,'2024-04-15
2009-01-04,1488.0
2009-01-05,1491.0
2009-01-06,1491.0
2009-01-07,1496.0
2009-01-08,1503.0
2009-01-09,1504.0
2009-01-12,1505.0
2009-01-13,1505.0
2009-01-14,1505.0
2009-01-15,1505.0
2009-01-16,1507.0
2009-01-19,1505.0
2009-01-20,1507.0
2009-01-21,1507.0
2009-01-22,1507.0
2009-01-23,1507.0
2009-02-01,1506.0
2009-02-02,1506.0
2009-02-03,1507.0
2009-02-04,1507.0
2009-02-05,1508.0
2009-02-06,1510.0
2009-02-09,1510.0
2009-02-10,1513.0
2009-02-11,1514.0
2009-02-12,1515.0
2009-02-13,1521.0
2009-02-16,1525.0
2009-02-17,1527.0
2009-02-18,1529.0
2009-02-19,1532.0
2009-02-20,1536.0
2009-02-23,1542.0
2009-02-24,1544.0
2009-02-25,1550.0
2009-02-26,1557.0
2009-02-27,1563.0
2009-03-02,1574.0
2009-03-03,1578.0
2009-03-04,1584.0
2009-03-05,1584.0
2009-03-06,1588.0
2009-03-09,1588.0
2009-03-10,1590.0
2009-03-11,1592.0
2009-03-12,1597.0
2009-03-13,1598.0
2009-03-16,1603.0
2009-03-17,1606.0
2009-03-18,1606.0
2009-03-19,1609.0
2009-03-20,1621.0
2009-03-23,1628.0
2009-03-24,1631.0
2009-03-25,1631.0
2009-03-26,1634.0
2009-03-27,1637.0
2009-03-30,1638.0
2009-03-31,1639.0
2009-04-01,1642.0
2009-04-02,1642.0
2009-04-03,1650.0
2009-04-07,1650.0
2009-04-08,1650.0
2009-04-09,1652.0
2009-04-10,1653.0
2009-04-13,1653.0
2009-04-14,1653.0
2009-04-15,1653.0
2009-04-16,1656.0
2009-04-17,1661.0
2009-04-20,1660.0
2009-04-21,1663.0
2009-04-22,1663.0
2009-04-23,1664.0
2009-04-24,1664.0
2009-04-27,1665.0
2009-04-28,1664.0
2009-04-29,1663.0
2009-04-30,1664.0
2009-05-04,1667.0
2009-05-05,1668.0
2009-05-06,1669.0
2009-05-07,1668.0
2009-05-08,1667.0
2009-05-11,1668.0
2009-05-12,1669.0
2009-05-13,1669.0
2009-05-14,1669.0
2009-05-15,1669.0
2009-05-18,1666.0
2009-05-19,1666.0
2009-05-20,1666.0
2009-05-21,1665.0
2009-05-22,1667.0
2009-05-25,1666.0
2009-05-26,1667.0
2009-05-27,1667.0
2009-05-31,1667.0
2009-06-01,1668.0
2009-06-02,1668.0
2009-06-03,1668.0
2009-06-04,1668.0
2009-06-05,1672.0
2009-06-08,1674.0
2009-06-09,1675.0
2009-06-10,1677.0
2009-06-11,1679.0
2009-06-12,1682.0
2009-06-15,1682.0
2009-06-16,1685.0
2009-06-17,1685.0
2009-06-18,1686.0
2009-06-19,1689.0
2009-06-22,1695.0
2009-06-23,1696.0
2009-06-24,1698.0
2009-06-25,1698.0
2009-06-26,1700.0
2009-06-29,1704.0
2009-06-30,1706.0
2009-07-01,1709.0
2009-07-02,1709.0
2009-07-03,1719.0
2009-07-06,1721.0
2009-07-07,1726.0
2009-07-08,1730.0
2009-07-09,1735.0
2009-07-10,1741.0
2009-07-13,1744.0
2009-07-14,1745.0
2009-07-15,1746.0
2009-07-16,1754.0
2009-07-17,1760.0
2009-07-20,1765.0
2009-07-21,1766.0
2009-07-22,1768.0
2009-07-23,1770.0
2009-07-24,1772.0
2009-07-27,1775.0
2009-07-28,1775.0
2009-07-29,1777.0
2009-07-30,1777.0
2009-07-31,1778.0
2009-08-03,1781.0
2009-08-04,1783.0
2009-08-05,1784.0
2009-08-06,1785.0
2009-08-07,1786.0
2009-08-10,1787.0
2009-08-11,1787.0
2009-08-12,1787.0
2009-08-13,1787.0
2009-08-14,1790.0
2009-08-17,1790.0
2009-08-18,1790.0
2009-08-19,1790.0
2009-08-20,1790.0
2009-08-21,1790.0
2009-08-24,1796.0
2009-08-25,1797.0
2009-08-26,1802.0
2009-08-27,1805.0
2009-08-28,1808.0
2009-08-31,1812.0
2009-09-01,1812.0
2009-09-02,1813.0
2009-09-03,1813.0
2009-09-04,1817.0
